agglomeration_id,agglomeration_name,region,time_scale,S_i,N_i,coupling_regime,CCD_recalculated,regime_recalculated
GP_3h_City Level,GP,South China,3h,0.63781058,1.649455162,Social Lag Type,1.0127635405226094,Social-Lagging
HBOY_1h_District/County Level,HBOY,North China,1h,0.137405395,1.966389591,Spatial Lag Type,0.7209718992355498,Spatial-Lagging
HBOY_1h_City Level,HBOY,North China,1h,0.137405395,1.100528867,Low Coupling Type,0.6235931068562724,Low-Coupling
HBOY_2h_District/County Level,HBOY,North China,2h,0.258528847,1.966389591,Spatial Lag Type,0.8443930381551619,Spatial-Lagging
HBOY_2h_City-level,HBOY,North China,2h,0.258528847,1.100528867,Low Coupling Type,0.7303442459120754,Low-Coupling
HBOY_3h_District-county-level,HBOY,North China,3h,0.379749693,1.966389591,Spatial Lag Type,0.9295906557056237,Spatial-Lagging
HBOY_3h_City-level,HBOY,North China,3h,0.379749693,1.100528867,Low Coupling Type,0.8040345618333721,Low-Coupling
HC_1h_District-county-level,HC,East China,1h,0.173376343,2.01526234,Spatial Lag Type,0.7688300629000793,Spatial-Lagging
HC_1h_City-level,HC,East China,1h,0.173376343,1.681456242,Low Coupling Type,0.7347994997976309,Low-Coupling
HC_2h_District-county-level,HC,East China,2h,0.31276146,2.01526234,Spatial Lag Type,0.8910174412500786,Spatial-Lagging
HC_2h_City-level,HC,East China,2h,0.31276146,1.681456242,Low Coupling Type,0.8515785239612997,Low-Coupling
HC_3h_District-county-level,HC,East China,3h,0.441972774,2.01526234,High Coupling Type,0.9714753302959027,High-Coupling
HC_3h_City-level,HC,East China,3h,0.441972774,1.681456242,Social Lag Type,0.9284751224145893,Social-Lagging
LX_1h_District-county-level,LX,Northwest China,1h,0.14119549,2.083191672,Spatial Lag Type,0.7364402451531428,Spatial-Lagging
LX_1h_City-level,LX,Northwest China,1h,0.14119549,1.777839535,Low Coupling Type,0.7078289906798584,Low-Coupling
LX_2h_District-county-level,LX,Northwest China,2h,0.254700072,2.083191672,Spatial Lag Type,0.8534725834614711,Spatial-Lagging
LX_2h_City-level,LX,Northwest China,2h,0.254700072,1.777839535,Low Coupling Type,0.8203145350901336,Low-Coupling
LX_3h_District-county-level,LX,Northwest China,3h,0.354910767,2.083191672,Spatial Lag Type,0.9272825804542303,Spatial-Lagging
LX_3h_City-level,LX,Northwest China,3h,0.354910767,1.777839535,Low Coupling Type,0.8912569584806473,Low-Coupling
MRYR_1h_District-county-level,MRYR,Central Region,1h,0.325523375,1.957690023,Spatial Lag Type,0.8934731928814992,Spatial-Lagging
MRYR_1h_City-level,MRYR,Central Region,1h,0.325523375,1.713397234,Low Coupling Type,0.8641916390855746,Low-Coupling
MRYR_2h_District-county-level,MRYR,Central Region,2h,0.530210104,1.957690023,High Coupling Type,1.0093643966813965,High-Coupling
MRYR_2h_City-level,MRYR,Central Region,2h,0.530210104,1.713397234,Social Lag Type,0.9762847720025649,Social-Lagging
MRYR_3h_District-county-level,MRYR,Central Region,3h,0.671970818,1.957690023,High Coupling Type,1.0709608255824317,High-Coupling
MRYR_3h_City-level,MRYR,Central Region,3h,0.671970818,1.713397234,Social Lag Type,1.0358625179023948,Social-Lagging
NTS_1h_District-county-level,NTS,South China,1h,0.103665912,2.070071408,Spatial Lag Type,0.6806209688810586,Spatial-Lagging
NTS_1h_City-level,NTS,South China,1h,0.103665912,1.611880386,Low Coupling Type,0.6393551913444984,Low-Coupling
NTS_2h_District-county-level,NTS,South China,2h,0.186204316,2.070071408,Spatial Lag Type,0.787941123778683,Spatial-Lagging
NTS_2h_City-level,NTS,South China,2h,0.186204316,1.611880386,Low Coupling Type,0.7401685681090961,Low-Coupling
NTS_3h_District-county-level,NTS,South China,3h,0.26477353,2.070071408,Spatial Lag Type,0.8604288685182747,Spatial-Lagging
NTS_3h_City-level,NTS,South China,3h,0.26477353,1.611880386,Low Coupling Type,0.8082614098331834,Low-Coupling
SCL_1h_District-county-level,SCL,Southwest China,1h,0.290918678,2.07890488,Spatial Lag Type,0.8818638824159097,Spatial-Lagging
SCL_1h_City-level,SCL,Southwest China,1h,0.290918678,1.66994259,Low Coupling Type,0.8348689063587108,Low-Coupling
SCL_2h_District-county-level,SCL,Southwest,2h,0.487327662,2.07890488,High Coupling Type,1.0032609780009762,High-Coupling
SCL_2h_City-level,SCL,Southwest,2h,0.487327662,1.66994259,Social Lag Type,0.9497966888057854,Social-Lagging
SCL_3h_District-county-level,SCL,Southwest,3h,0.651236885,2.07890488,High Coupling Type,1.0786819268439312,High-Coupling
SCL_3h_City-level,SCL,Southwest,3h,0.651236885,1.66994259,Social Lag Type,1.0211984168191313,Social-Lagging
SP_1h_District-county-level,SP,East China,1h,0.279288416,1.844811563,Spatial Lag Type,0.8472298209425555,Spatial-Lagging
